200.0.0.0 200.0.0.0 JP  
200.31.22.32 200.31.22.63 AR  
200.31.22.64 200.31.22.95 CO  
200.31.22.96 200.31.22.255 AR  
200.31.23.0 200.31.23.255 CO  
200.31.24.0 200.31.31.255 EC  
200.31.32.0 200.31.63.255 CL  
200.31.64.0 200.31.95.255 CO  
200.31.96.0 200.31.127.255 PE  
200.31.128.0 200.31.159.255 VE  
200.31.160.0 200.31.191.255 SV  
200.31.192.0 200.31.223.255 CO  
200.31.224.0 200.32.63.255 AR  
200.32.64.0 200.32.64.255 VE  
200.32.65.0 200.32.65.255 AR  
200.32.66.0 200.32.67.255 MX  
200.32.68.0 200.32.73.255 EC  
200.32.74.0 200.32.74.255 CA  
200.32.75.0 200.32.75.255 US  
200.32.76.0 200.32.76.127 AR  
200.32.76.128 200.32.76.255 VE  
200.32.77.0 200.32.77.95 AR  
200.32.77.96 200.32.77.103 VE  
200.32.77.104 200.32.77.111 AR  
200.32.77.112 200.32.77.119 VE  
200.32.77.120 200.32.77.135 AR  
200.32.77.136 200.32.77.143 VE  
200.32.77.144 200.32.77.183 AR  
200.32.77.184 200.32.77.191 VE  
200.32.77.192 200.32.77.199 AR  
200.32.77.200 200.32.77.207 VE  
200.32.77.208 200.32.77.255 AR  
200.32.78.0 200.32.78.255 MX  
200.32.79.0 200.32.79.255 US  
200.32.80.0 200.32.83.255 CO  
200.32.84.0 200.32.159.255 AR  
200.32.160.0 200.32.191.255 CL  
200.32.192.0 200.32.255.255 BZ  
200.33.0.0 200.33.3.255 MX  
200.33.4.0 200.33.4.255 AR  
200.33.5.0 200.33.27.255 MX  
200.33.28.0 200.33.28.255 AR  
200.33.29.0 200.33.50.255 MX  
200.33.51.0 200.33.51.255 SV  
200.33.52.0 200.33.66.255 MX  
200.33.67.0 200.33.67.255 AR  
200.33.68.0 200.33.80.255 MX  
200.33.84.0 200.33.84.255 MX  
200.33.86.0 200.33.87.255 MX  
200.33.88.0 200.33.95.255 BR  
200.33.97.0 200.33.107.255 MX  
200.33.109.0 200.33.112.255 MX  
200.33.114.0 200.33.114.255 MX  
200.33.116.0 200.33.116.255 MX  
200.33.118.0 200.33.124.255 MX  
200.33.128.0 200.33.135.255 BR  
200.33.136.0 200.33.151.255 MX  
200.33.152.0 200.33.159.255 BR  
200.33.160.0 200.33.163.255 MX  
200.33.164.0 200.33.167.255 BR  
200.33.168.0 200.33.173.255 MX  
200.33.176.0 200.33.202.255 MX  
200.33.204.0 200.33.252.255 MX  
200.33.254.0 200.33.255.255 MX  
200.34.0.0 200.34.0.255 CO  
200.34.1.0 200.34.159.255 MX  
200.34.160.0 200.34.163.255 BR  
200.34.164.0 200.34.170.255 MX  
200.34.171.0 200.34.171.255 CO  
200.34.172.0 200.34.172.255 MX  
200.34.174.0 200.34.214.255 MX  
200.34.215.0 200.34.215.255 AR  
200.34.216.0 200.34.219.255 BR  
200.34.220.0 200.34.223.255 MX  
200.34.224.0 200.34.255.255 BR  
200.35.0.0 200.35.31.255 VE  
200.35.32.0 200.35.63.255 CO  
200.35.64.0 200.35.80.47 VE  
200.35.80.48 200.35.80.55 BO  
200.35.80.56 200.35.143.255 VE  
200.35.144.0 200.35.151.255 PA  
200.35.152.0 200.35.152.255 US  
200.35.153.0 200.35.153.255 UY  
200.35.154.0 200.35.155.255 US  
200.35.156.0 200.35.159.255 CL  
200.35.160.0 200.35.161.239 GT  
200.35.161.240 200.35.161.247 SV  
200.35.161.248 200.35.184.255 GT  
200.35.185.0 200.35.185.15 SV  
200.35.185.16 200.35.191.255 GT  
200.35.192.0 200.35.255.255 VE  
200.36.0.0 200.36.255.255 MX  
200.37.0.0 200.37.255.255 PE  
200.38.0.0 200.39.63.255 MX  
200.39.64.0 200.39.95.255 BR  
200.39.96.0 200.39.255.255 MX  
200.40.0.0 200.40.255.255 UY  
200.41.0.0 200.41.3.255 EC  
200.41.4.0 200.41.4.127 AR  
200.41.4.128 200.41.4.255 CO  
200.41.5.0 200.41.6.127 AR  
200.41.6.128 200.41.6.255 CO  
200.41.7.0 200.41.7.15 AR  
200.41.7.16 200.41.7.63 CO  
200.41.7.64 200.41.7.119 AR  
200.41.7.120 200.41.7.127 CO  
200.41.7.128 200.41.7.159 AR  
200.41.7.160 200.41.7.167 CO  
200.41.7.168 200.41.9.127 AR  
200.41.9.128 200.41.9.255 CO  
200.41.10.0 200.41.10.239 AR  
200.41.10.240 200.41.11.127 EC  
200.41.11.128 200.41.11.255 AR  
200.41.12.0 200.41.13.255 VE  
200.41.14.0 200.41.48.255 AR  
200.41.49.0 200.41.49.255 US  
200.41.50.0 200.41.50.255 CO  
200.41.51.0 200.41.51.255 VE  
200.41.52.0 200.41.53.255 US  
200.41.54.0 200.41.54.127 CL  
200.41.54.128 200.41.54.255 AR  
200.41.55.0 200.41.55.255 CL  
200.41.56.0 200.41.57.255 VE  
200.41.58.0 200.41.76.63 AR  
200.41.76.64 200.41.76.71 CO  
200.41.76.72 200.41.76.87 AR  
200.41.76.88 200.41.76.95 CO  
200.41.76.96 200.41.77.127 AR  
200.41.77.128 200.41.77.255 CO  
200.41.78.0 200.41.79.23 AR  
200.41.79.24 200.41.79.31 CO  
200.41.79.32 200.41.79.79 AR  
200.41.79.80 200.41.79.255 CO  
200.41.80.0 200.41.80.255 EC  
200.41.81.0 200.41.81.127 AR  
200.41.81.128 200.41.81.255 EC  
200.41.82.0 200.41.82.95 AR  
200.41.82.96 200.41.82.103 EC  
200.41.82.104 200.41.82.255 AR  
200.41.83.0 200.41.83.127 EC  
200.41.83.128 200.41.83.255 AR  
200.41.84.0 200.41.87.255 PE  
200.41.88.0 200.41.88.255 US  
200.41.89.0 200.41.89.255 EC  
200.41.90.0 200.41.90.63 AR  
200.41.90.64 200.41.90.95 US  
200.41.90.96 200.41.90.127 AR  
200.41.90.128 200.41.91.63 US  
200.41.91.64 200.41.91.127 AR  
200.41.91.128 200.41.91.191 PR  
200.41.91.192 200.41.91.231 AR  
200.41.91.232 200.41.91.239 PR  
200.41.91.240 200.41.91.255 AR  
200.41.92.0 200.41.92.255 EC  
200.41.93.0 200.41.93.255 US  
200.41.94.0 200.41.95.255 CL  
200.41.96.0 200.41.111.255 PE  
200.41.112.0 200.41.113.55 AR  
200.41.113.56 200.41.113.63 US  
200.41.113.64 200.41.113.255 AR  
200.41.114.0 200.41.114.255 EC  
200.41.115.0 200.41.115.255 US  
200.41.116.0 200.41.119.255 VE  
200.41.120.0 200.42.159.255 AR  
200.42.160.0 200.42.191.255 CL  
200.42.192.0 200.42.255.255 DO  
200.43.0.0 200.43.10.255 AR  
200.43.11.0 200.43.11.255 PY  
200.43.12.0 200.43.255.255 AR  
200.44.0.0 200.44.255.255 VE  
200.45.0.0 200.45.255.255 AR  
200.46.0.0 200.46.255.255 PA  
200.47.0.0 200.47.1.255 VE  
200.47.2.0 200.47.3.255 AR  
200.47.4.0 200.47.9.255 VE  
200.47.10.0 200.47.11.255 AR  
200.47.12.0 200.47.15.255 VE  
200.47.16.0 200.47.26.255 AR  
200.47.27.0 200.47.29.127 VE  
200.47.29.128 200.47.29.255 AR  
200.47.30.0 200.47.31.255 VE  
200.47.32.0 200.47.32.255 AR  
200.47.33.0 200.47.34.255 VE  
200.47.35.0 200.47.36.255 AR  
200.47.37.0 200.47.42.255 VE  
200.47.43.0 200.47.43.255 AR  
200.47.44.0 200.47.44.255 VE  
200.47.45.0 200.47.47.255 AR  
200.47.48.0 200.47.50.255 VE  
200.47.51.0 200.47.51.255 AR  
200.47.52.0 200.47.62.255 VE  
200.47.63.0 200.47.63.255 AR  
200.47.64.0 200.47.79.255 VE  
200.47.80.0 200.47.80.255 MX  
200.47.81.0 200.47.81.255 AR  
200.47.82.0 200.47.85.255 VE  
200.47.86.0 200.47.86.255 AR  
200.47.87.0 200.47.96.255 VE  
200.47.97.0 200.47.97.255 AR  
200.47.98.0 200.47.102.255 VE  
200.47.103.0 200.47.103.255 AR  
200.47.104.0 200.47.111.255 VE  
200.47.112.0 200.47.115.255 AR  
200.47.116.0 200.47.117.255 VE  
200.47.118.0 200.47.118.255 AR  
200.47.119.0 200.47.122.255 VE  
200.47.123.0 200.47.123.255 AR  
200.47.124.0 200.47.127.255 VE  
200.47.128.0 200.47.136.255 AR  
200.47.137.0 200.47.137.127 PY  
200.47.137.128 200.47.139.255 AR  
200.47.140.0 200.47.143.255 VE  
200.47.144.0 200.47.149.255 AR  
200.47.150.0 200.47.151.255 VE  
200.47.152.0 200.47.155.255 PE  
200.47.156.0 200.47.158.255 CO  
200.47.159.0 200.47.159.255 MX  
200.47.160.0 200.47.170.63 AR  
200.47.170.64 200.47.170.191 VE  
200.47.170.192 200.47.170.255 AR  
200.47.171.0 200.47.171.63 VE  
200.47.171.64 200.47.171.95 AR  
200.47.171.96 200.47.171.159 VE  
200.47.171.160 200.47.171.175 AR  
200.47.171.176 200.47.171.207 VE  
200.47.171.208 200.47.171.223 AR  
200.47.171.224 200.47.171.239 VE  
200.47.171.240 200.47.171.255 AR  
200.47.172.0 200.47.177.255 CO  
200.47.178.0 200.47.179.255 AR  
200.47.180.0 200.47.183.255 VE  
200.47.184.0 200.47.184.255 MX  
200.47.185.0 200.47.186.255 PE  
200.47.187.0 200.47.191.255 MX  
200.47.192.0 200.47.209.255 AR  
200.47.210.0 200.47.210.255 PE  
200.47.211.0 200.47.214.255 AR  
200.47.215.0 200.47.215.255 VE  
200.47.216.0 200.47.220.255 CO  
200.47.221.0 200.47.255.255 AR  
200.48.0.0 200.48.255.255 PE  
200.49.0.0 200.49.15.255 AR  
200.49.16.0 200.49.23.255 CL  
200.49.24.0 200.49.31.255 AR  
200.49.32.0 200.49.47.255 BR  
200.49.48.0 200.49.159.255 AR  
200.49.160.0 200.49.191.255 GT  
200.49.192.0 200.49.239.255 AR  
200.49.240.0 200.49.247.255 EC  
200.49.248.0 200.49.255.255 US  
200.50.0.0 200.50.31.255 PR  
200.50.32.0 200.50.63.255 CL  
200.50.64.0 200.50.70.255 BB  
200.50.71.0 200.50.72.255 GD  
200.50.73.0 200.50.76.255 BB  
200.50.77.0 200.50.77.255 KN  
200.50.78.0 200.50.95.255 BB  
200.50.96.0 200.50.127.255 CL  
200.50.128.0 200.50.143.255 BB  
200.50.144.0 200.50.159.255 CL  
200.50.160.0 200.50.191.255 AR  
200.50.192.0 200.50.223.255 HT  
200.50.224.0 200.50.231.255 CR  
200.50.232.0 200.50.239.255 EC  
200.50.240.0 200.51.255.255 AR  
200.52.0.0 200.52.15.255 MX  
200.52.16.0 200.52.31.255 BR  
200.52.32.0 200.52.143.255 MX  
200.52.144.0 200.52.159.255 HN  
200.52.160.0 200.53.7.255 MX  
200.53.8.0 200.53.31.255 BR  
200.53.32.0 200.53.191.255 MX  
200.53.192.0 200.53.223.255 BR  
200.53.224.0 200.53.255.255 MX  
200.54.0.0 200.54.255.255 CL  
200.55.0.0 200.55.127.255 AR  
200.55.128.0 200.55.191.255 CU  
200.55.192.0 200.55.223.255 CL  
200.55.224.0 200.55.239.255 EC  
200.55.240.0 200.55.240.255 US  
200.55.241.0 200.55.247.255 AR  
200.55.248.0 200.55.255.255 EC  
200.56.0.0 200.57.255.255 MX  
200.58.0.0 200.58.63.255 US  
200.58.64.0 200.58.95.255 BO  
200.58.96.0 200.58.127.255 AR  
200.58.128.0 200.58.159.255 UY  
200.58.160.0 200.58.191.255 BO  
200.58.192.0 200.58.239.255 CO  
200.58.240.0 200.58.247.255 DO  
200.59.0.0 200.59.15.255 AR  
200.59.16.0 200.59.23.255 CR  
200.59.24.0 200.59.31.255 HN  
200.59.32.0 200.59.183.255 AR  
200.59.184.0 200.59.191.255 VE  
200.59.192.0 200.59.207.255 AR  
200.59.208.0 200.59.223.255 PA  
200.59.224.0 200.59.255.255 AR  
200.60.0.0 200.60.255.255 PE  
200.61.0.0 200.61.82.63 AR  
200.61.82.64 200.61.82.127 HN  
200.61.82.128 200.61.83.127 AR  
200.61.83.128 200.61.83.191 UY  
200.61.83.192 200.61.87.231 AR  
200.61.87.232 200.61.87.239 CO  
200.61.87.240 200.61.88.255 AR  
200.61.89.0 200.61.89.63 HN  
200.61.89.64 200.61.223.255 AR  
200.61.224.0 200.61.239.255 PY  
200.61.240.0 200.61.251.255 AR  
200.61.252.0 200.61.252.255 VE  
200.61.253.0 200.61.253.255 CW  
200.61.254.0 200.61.255.255 AR  
200.62.0.0 200.62.7.255 US  
200.62.8.0 200.62.31.255 VE  
200.62.32.0 200.62.39.255 US  
200.62.40.0 200.62.40.255 VG  
200.62.41.0 200.62.41.255 US  
200.62.42.0 200.62.42.255 VG  
200.62.43.0 200.62.43.255 US  
200.62.44.0 200.62.44.255 VG  
200.62.45.0 200.62.53.255 US  
200.62.54.0 200.62.55.255 AR  
200.62.56.0 200.62.63.255 US  
200.62.64.0 200.62.127.255 NI  
200.62.128.0 200.62.255.255 PE  
200.63.0.0 200.63.29.255 AR  
200.63.30.0 200.63.30.255 US  
200.63.31.0 200.63.39.255 AR  
200.63.40.0 200.63.47.255 PA  
200.63.48.0 200.63.55.255 AR  
200.63.56.0 200.63.63.255 CL  
200.63.64.0 200.63.95.255 AR  
200.63.96.0 200.63.103.255 CL  
200.63.104.0 200.63.107.255 EC  
200.63.108.0 200.63.191.255 AR  
200.63.192.0 200.63.255.255 EC  
200.64.0.0 200.66.82.15 MX  
200.66.82.16 200.66.82.31 US  
200.66.82.32 200.66.82.255 MX  
200.66.83.0 200.66.83.63 US  
200.66.83.64 200.66.111.255 MX  
200.66.112.0 200.66.127.255 BR  
200.66.128.0 200.67.255.255 MX  
200.68.0.0 200.68.63.255 CL  
200.68.64.0 200.68.127.255 AR  
200.68.128.0 200.68.191.255 MX  
200.68.192.0 200.69.93.255 AR  
200.69.94.0 200.69.94.255 US  
200.69.95.0 200.69.95.255 AR  
200.69.96.0 200.69.127.255 CO  
200.69.128.0 200.69.159.255 AR  
200.69.160.0 200.69.191.255 EC  
200.69.192.0 200.70.255.255 AR  
200.71.0.0 200.71.31.255 UY  
200.71.32.0 200.71.79.255 CO  
200.71.80.0 200.71.87.255 BO  
200.71.88.0 200.71.95.255 AR  
200.71.96.0 200.71.111.255 CO  
200.71.112.0 200.71.112.255 US  
200.71.113.0 200.71.115.255 VE  
200.71.116.0 200.71.123.255 BR  
200.71.124.0 200.71.125.63 HN  
200.71.125.64 200.71.125.71 IT  
200.71.125.72 200.71.126.31 HN  
200.71.126.32 200.71.126.63 US  
200.71.126.64 200.71.127.255 HN  
200.71.128.0 200.71.191.255 VE  
200.71.192.0 200.71.223.255 CL  
200.71.224.0 200.71.239.255 AR  
200.71.240.0 200.71.247.255 VE  
200.71.248.0 200.71.255.255 BQ  
200.72.0.0 200.73.6.143 CL  
200.73.6.144 200.73.6.148 US  
200.73.6.149 200.73.6.149 CL  
200.73.6.150 200.73.6.159 US  
200.73.6.160 200.73.17.95 CL  
200.73.17.96 200.73.17.127 US  
200.73.17.128 200.73.65.255 CL  
200.73.66.0 200.73.66.255 CO  
200.73.67.0 200.73.67.255 CL  
200.73.68.0 200.73.71.255 CO  
200.73.72.0 200.73.75.255 CL  
200.73.76.0 200.73.76.255 AR  
200.73.77.0 200.73.79.255 CL  
200.73.80.0 200.73.80.255 CO  
200.73.81.0 200.73.83.255 CL  
200.73.84.0 200.73.84.255 CO  
200.73.85.0 200.73.85.255 CL  
200.73.86.0 200.73.89.255 CO  
200.73.90.0 200.73.90.255 CL  
200.73.91.0 200.73.92.255 CO  
200.73.93.0 200.73.93.255 CL  
200.73.94.0 200.73.95.255 CO  
200.73.96.0 200.73.103.255 BO  
200.73.104.0 200.73.111.255 SV  
200.73.112.0 200.73.127.255 CL  
200.73.128.0 200.73.128.255 AR  
200.73.129.0 200.73.129.255 US  
200.73.130.0 200.73.191.255 AR  
200.73.192.0 200.73.199.255 VE  
200.73.200.0 200.73.207.255 EC  
200.73.208.0 200.73.215.255 CL  
200.73.224.0 200.74.127.255 CL  
200.74.128.0 200.74.159.255 CO  
200.74.160.0 200.74.191.255 CL  
200.74.192.0 200.74.239.255 VE  
200.74.240.0 200.74.247.255 PA  
200.74.248.0 200.74.255.255 CR  
200.75.0.0 200.75.1.255 CL  
200.75.2.0 200.75.2.7 CO  
200.75.2.8 200.75.31.255 CL  
200.75.32.0 200.75.95.255 CO  
200.75.96.0 200.75.159.255 VE  
200.75.160.0 200.75.175.255 BO  
200.75.176.0 200.75.183.255 BR  
200.75.184.0 200.75.191.255 HN  
200.75.192.0 200.75.255.255 PA  
200.76.0.0 200.76.126.255 MX  
200.76.127.0 200.76.127.255 US  
200.76.128.0 200.77.175.255 MX  
200.77.176.0 200.77.183.255 BR  
200.77.184.0 200.77.187.255 CL  
200.77.188.0 200.77.191.255 EC  
200.77.192.0 200.79.183.255 MX  
200.79.184.0 200.79.191.255 BR  
200.79.192.0 200.79.255.255 MX  
200.80.0.0 200.80.7.47 CO  
200.80.7.48 200.80.7.63 AR  
200.80.7.64 200.80.7.111 CO  
200.80.7.112 200.80.7.159 AR  
200.80.7.160 200.80.7.255 CO  
200.80.8.0 200.80.9.255 AR  
200.80.10.0 200.80.12.255 CO  
200.80.13.0 200.80.13.127 AR  
200.80.13.128 200.80.14.255 CO  
200.80.15.0 200.80.15.255 AR  
200.80.16.0 200.80.16.223 CO  
200.80.16.224 200.80.16.239 AR  
200.80.16.240 200.80.17.191 CO  
200.80.17.192 200.80.17.255 AR  
200.80.18.0 200.80.18.15 CO  
200.80.18.16 200.80.18.31 AR  
200.80.18.32 200.80.18.159 CO  
200.80.18.160 200.80.18.175 AR  
200.80.18.176 200.80.19.255 CO  
200.80.20.0 200.80.20.191 AR  
200.80.20.192 200.80.20.255 CO  
200.80.21.0 200.80.21.255 AR  
200.80.22.0 200.80.24.255 CO  
200.80.25.0 200.80.25.127 AR  
200.80.25.128 200.80.25.255 CO  
200.80.26.0 200.80.26.63 AR  
200.80.26.64 200.80.26.127 CO  
200.80.26.128 200.80.27.255 AR  
200.80.28.0 200.80.28.31 CO  
200.80.28.32 200.80.28.95 AR  
200.80.28.96 200.80.28.159 CO  
200.80.28.160 200.80.28.175 AR  
200.80.28.176 200.80.28.255 CO  
200.80.29.0 200.80.30.31 AR  
200.80.30.32 200.80.30.47 CO  
200.80.30.48 200.80.30.63 AR  
200.80.30.64 200.80.32.167 CO  
200.80.32.168 200.80.32.175 AR  
200.80.32.176 200.80.32.191 CO  
200.80.32.192 200.80.33.255 AR  
200.80.34.0 200.80.34.255 CO  
200.80.35.0 200.80.35.39 AR  
200.80.35.40 200.80.35.47 CO  
200.80.35.48 200.80.35.127 AR  
200.80.35.128 200.80.35.159 CO  
200.80.35.160 200.80.35.175 AR  
200.80.35.176 200.80.35.255 CO  
200.80.36.0 200.80.40.127 AR  
200.80.40.128 200.80.40.191 CO  
200.80.40.192 200.80.40.207 AR  
200.80.40.208 200.80.43.255 CO  
200.80.44.0 200.80.44.255 AR  
200.80.45.0 200.80.45.255 CO  
200.80.46.0 200.80.46.255 AR  
200.80.47.0 200.80.56.127 CO  
200.80.56.128 200.80.58.255 AR  
200.80.59.0 200.80.60.255 CO  
200.80.61.0 200.80.61.255 AR  
200.80.62.0 200.80.62.255 CO  
200.80.63.0 200.80.75.255 AR  
200.80.76.0 200.80.76.255 US  
200.80.77.0 200.80.81.255 AR  
200.80.82.0 200.80.82.255 US  
200.80.83.0 200.80.83.255 AR  
200.80.84.0 200.80.85.255 US  
200.80.86.0 200.80.86.127 AR  
200.80.86.128 200.80.86.255 US  
200.80.87.0 200.80.87.127 AR  
200.80.87.128 200.80.88.255 US  
200.80.89.0 200.80.89.127 AR  
200.80.89.128 200.80.90.127 US  
200.80.90.128 200.80.91.255 AR  
200.80.92.0 200.80.92.127 US  
200.80.92.128 200.80.94.127 AR  
200.80.94.128 200.80.94.255 US  
200.80.95.0 200.80.95.127 AR  
200.80.95.128 200.80.95.255 US  
200.80.96.0 200.80.127.255 HT  
200.80.128.0 200.81.47.255 AR  
200.81.48.0 200.81.55.255 GT  
200.81.56.0 200.81.63.255 CO  
200.81.64.0 200.81.80.255 AR  
200.81.81.0 200.81.81.127 BO  
200.81.81.128 200.81.112.15 AR  
200.81.112.16 200.81.112.31 BR  
200.81.112.32 200.81.112.111 AR  
200.81.112.112 200.81.112.127 BR  
200.81.112.128 200.81.114.191 AR  
200.81.114.192 200.81.114.195 BR  
200.81.114.196 200.81.117.223 AR  
200.81.117.224 200.81.117.227 MX  
200.81.117.228 200.81.118.15 AR  
200.81.118.16 200.81.118.23 DO  
200.81.118.24 200.81.118.119 AR  
200.81.118.120 200.81.118.123 MX  
200.81.118.124 200.81.119.87 AR  
200.81.119.88 200.81.119.95 MX  
200.81.119.96 200.81.119.159 AR  
200.81.119.160 200.81.119.167 MX  
200.81.119.168 200.81.143.255 AR  
200.81.144.0 200.81.151.255 CL  
200.81.152.0 200.82.127.255 AR  
200.82.128.0 200.82.255.255 VE  
200.83.0.0 200.83.255.255 CL  
200.84.0.0 200.84.255.255 VE  
200.85.0.0 200.85.30.255 SV  
200.85.31.0 200.85.31.255 HN  
200.85.32.0 200.85.63.255 PY  
200.85.64.0 200.85.79.255 VE  
200.85.80.0 200.85.87.255 EC  
200.85.88.0 200.85.127.255 AR  
200.85.128.0 200.85.151.255 BO  
200.85.152.0 200.85.158.255 AR  
200.85.159.0 200.85.159.255 PE  
200.85.160.0 200.85.175.255 NI  
200.85.176.0 200.85.191.255 AR  
200.85.192.0 200.85.223.255 CL  
200.85.224.0 200.85.255.255 CO  
200.86.0.0 200.86.255.255 CL  
200.87.0.0 200.87.255.255 BO  
200.88.0.0 200.88.255.255 DO  
200.89.0.0 200.89.31.255 PE  
200.89.32.0 200.89.79.255 CL  
200.89.80.0 200.89.87.255 SV  
200.89.88.0 200.89.95.255 DO  
200.89.96.0 200.89.127.255 CO  
200.89.128.0 200.89.191.255 AR  
200.89.192.0 200.89.255.255 CO  
200.90.0.0 200.90.127.255 VE  
200.90.128.0 200.90.143.255 PA  
200.90.144.0 200.90.151.255 BO  
200.90.152.0 200.90.159.255 EC  
200.90.160.0 200.91.31.255 CL  
200.91.32.0 200.91.39.255 AR  
200.91.40.0 200.91.47.255 CL  
200.91.48.0 200.91.63.255 AR  
200.91.64.0 200.91.191.255 CR  
200.91.192.0 200.91.255.255 CO  
200.92.0.0 200.92.255.255 MX  
200.93.0.0 200.93.127.255 VE  
200.93.128.0 200.93.191.255 CO  
200.93.192.0 200.93.239.255 EC  
200.93.240.0 200.93.247.255 UY  
200.93.248.0 200.93.255.255 EC  
200.94.0.0 200.94.239.255 MX  
200.94.240.0 200.94.247.255 BR  
200.94.248.0 200.94.251.255 GT  
200.94.252.0 200.94.255.255 BR  
200.95.0.0 200.95.171.255 MX  
200.95.172.0 200.95.183.255 BR  
200.95.184.0 200.95.187.255 CL  
200.95.188.0 200.95.223.255 BR  
200.95.224.0 200.95.255.255 MX  
200.96.0.0 200.103.255.255 BR  
200.104.0.0 200.104.255.255 CL  
200.105.0.0 200.105.0.255 AR  
200.105.1.0 200.105.1.255 US  
200.105.2.0 200.105.5.255 AR  
200.105.6.0 200.105.6.255 US  
200.105.7.0 200.105.9.255 AR  
200.105.10.0 200.105.11.255 US  
200.105.12.0 200.105.13.255 AR  
200.105.14.0 200.105.15.255 US  
200.105.16.0 200.105.49.255 AR  
200.105.50.0 200.105.52.255 US  
200.105.53.0 200.105.54.255 AR  
200.105.55.0 200.105.55.255 US  
200.105.56.0 200.105.57.255 AR  
200.105.58.0 200.105.58.255 US  
200.105.59.0 200.105.68.255 AR  
200.105.69.0 200.105.69.255 PA  
200.105.70.0 200.105.73.255 AR  
200.105.74.0 200.105.74.255 US  
200.105.75.0 200.105.77.255 AR  
200.105.78.0 200.105.79.255 US  
200.105.80.0 200.105.83.255 AR  
200.105.84.0 200.105.85.255 US  
200.105.86.0 200.105.94.255 AR  
200.105.95.0 200.105.95.255 US  
200.105.96.0 200.105.103.255 CR  
200.105.104.0 200.105.111.255 AR  
200.105.112.0 200.105.119.255 EC  
200.105.120.0 200.105.127.255 AR  
200.105.128.0 200.105.223.255 BO  
200.105.224.0 200.105.255.255 EC  
200.106.0.0 200.106.127.255 PE  
200.106.128.0 200.106.143.255 CO  
200.106.144.0 200.106.151.255 PA  
200.106.152.0 200.106.159.255 CL  
200.106.160.0 200.106.223.255 CO  
200.106.224.0 200.106.229.255 HN  
200.106.230.0 200.106.230.255 SV  
200.106.231.0 200.106.231.255 HN  
200.106.232.0 200.106.235.255 SV  
200.106.236.0 200.106.239.255 HN  
200.106.240.0 200.106.243.255 AR  
200.106.244.0 200.106.245.255 BO  
200.106.246.0 200.106.246.255 HN  
200.106.247.0 200.106.247.255 NI  
200.106.248.0 200.106.255.255 AR  
200.107.0.0 200.107.63.255 EC  
200.107.64.0 200.107.79.255 CL  
200.107.80.0 200.107.80.255 HN  
200.107.81.0 200.107.81.255 AR  
200.107.82.0 200.107.83.255 CR  
200.107.84.0 200.107.87.255 BQ  
200.107.88.0 200.107.111.255 AR  
200.107.120.0 200.107.127.255 HN  
200.107.128.0 200.107.191.255 PE  
200.107.192.0 200.107.199.255 VE  
200.107.200.0 200.107.207.255 AR  
200.107.208.0 200.107.215.255 HN  
200.107.224.0 200.107.231.255 AR  
200.107.232.0 200.107.239.255 HN  
200.107.240.0 200.107.247.255 BO  
200.107.248.0 200.107.255.255 EC  
200.108.0.0 200.108.31.255 TT  
200.108.32.0 200.108.63.255 PA  
200.108.64.0 200.108.95.255 AR  
200.108.96.0 200.108.111.255 PE  
200.108.112.0 200.108.120.63 AR  
200.108.120.64 200.108.120.79 MX  
200.108.120.80 200.108.121.79 AR  
200.108.121.80 200.108.121.95 PR  
200.108.121.96 200.108.124.191 AR  
200.108.124.192 200.108.124.207 PR  
200.108.124.208 200.108.125.79 AR  
200.108.125.80 200.108.125.95 DO  
200.108.125.96 200.108.125.159 AR  
200.108.125.160 200.108.125.175 CO  
200.108.125.176 200.108.127.255 AR  
200.108.128.0 200.108.143.255 PY  
200.108.144.0 200.108.159.255 AR  
200.108.192.0 200.108.255.255 UY  
200.109.0.0 200.109.255.255 VE  
200.110.0.0 200.110.47.255 PE  
200.110.48.0 200.110.63.255 BO  
200.110.64.0 200.110.95.255 EC  
200.110.112.0 200.110.127.255 EC  
200.110.128.0 200.110.142.255 AR  
200.110.143.0 200.110.144.255 CO  
200.110.145.0 200.110.145.31 AR  
200.110.145.32 200.110.149.63 CO  
200.110.149.64 200.110.149.127 AR  
200.110.149.128 200.110.149.223 CO  
200.110.149.224 200.110.149.255 AR  
200.110.150.0 200.110.151.255 CO  
200.110.152.0 200.110.155.255 PA  
200.110.156.0 200.110.156.191 AR  
200.110.156.192 200.110.156.255 CO  
200.110.157.0 200.110.157.255 MX  
200.110.158.0 200.110.158.255 CO  
200.110.159.0 200.110.167.255 AR  
200.110.168.0 200.110.175.255 CO  
200.110.176.0 200.110.199.255 AR  
200.110.208.0 200.110.231.255 AR  
200.110.232.0 200.110.239.255 EC  
200.110.240.0 200.110.243.255 VE  
200.110.244.0 200.110.244.255 HN  
200.110.245.0 200.110.250.255 VE  
200.110.251.0 200.110.251.255 CR  
200.110.252.0 200.110.255.255 VE  
200.111.0.0 200.112.127.255 CL  
200.112.128.0 200.112.191.255 AR  
200.112.192.0 200.112.215.255 CO  
200.112.216.0 200.112.223.255 EC  
200.112.224.0 200.113.191.255 CL  
200.113.192.0 200.113.213.255 HT  
200.113.214.0 200.113.215.255 MX  
200.113.216.0 200.113.255.255 HT  
200.114.0.0 200.114.63.255 CO  
200.114.64.0 200.114.79.255 CL  
200.114.80.0 200.114.87.255 AR  
200.114.88.0 200.114.95.255 CL  
200.114.96.0 200.114.111.255 AR  
