5.0.0.1 5.0.255.255 SY  
5.104.104.0 5.104.111.255 DE  
5.104.112.0 5.104.127.255 NL  
5.104.128.0 5.104.135.255 SY  
5.104.136.0 5.104.143.255 NL  
5.104.144.0 5.104.151.255 DE  
5.104.152.0 5.104.158.255 NL  
5.104.159.0 5.104.159.255 RO  
5.104.160.0 5.104.191.255 BG  
5.104.192.0 5.104.199.255 FR  
5.104.200.0 5.104.207.255 RU  
5.104.208.0 5.104.215.255 PL  
5.104.216.0 5.104.223.255 AT  
5.104.224.0 5.104.231.255 NL  
5.104.232.0 5.104.239.255 KZ  
5.104.240.0 5.104.240.255 IL  
5.104.241.0 5.104.241.255 US  
5.104.242.0 5.104.243.255 IL  
5.104.244.0 5.104.245.255 US  
5.104.246.0 5.104.247.255 IL  
5.104.248.0 5.104.255.255 PL  
5.105.0.0 5.105.255.255 UA  
5.106.0.0 5.106.255.255 IR  
5.107.0.0 5.107.255.255 AE  
5.108.0.0 5.111.255.255 SA  
5.112.0.0 5.127.255.255 IR  
5.128.0.0 5.131.255.255 RU  
5.132.0.0 5.132.127.255 NL  
5.132.128.0 5.132.191.255 AT  
5.132.192.0 5.132.255.255 SA  
5.133.0.0 5.133.7.255 BA  
5.133.8.0 5.133.15.255 PL  
5.133.16.0 5.133.23.255 GB  
5.133.24.0 5.133.31.255 PS  
5.133.32.0 5.133.39.255 CH  
5.133.40.0 5.133.47.255 GB  
5.133.48.0 5.133.63.255 IT  
5.133.128.0 5.133.159.255 BA  
5.133.160.0 5.133.167.255 GE  
5.133.168.0 5.133.191.255 GB  
5.133.192.0 5.133.203.255 SE  
5.133.204.0 5.133.204.31 US  
5.133.204.32 5.133.204.255 SE  
5.133.205.0 5.133.205.31 US  
5.133.205.32 5.133.205.191 SE  
5.133.205.192 5.133.205.223 NL  
5.133.205.224 5.133.205.255 SE  
5.133.206.0 5.133.206.31 US  
5.133.206.32 5.133.206.191 SE  
5.133.206.192 5.133.206.223 NL  
5.133.206.224 5.133.206.255 SE  
5.133.207.0 5.133.207.31 US  
5.133.207.32 5.133.207.255 SE  
5.133.208.0 5.133.208.31 US  
5.133.208.32 5.133.208.111 SE  
5.133.208.112 5.133.208.127 NL  
5.133.208.128 5.133.208.255 SE  
5.133.209.0 5.133.209.31 US  
5.133.209.32 5.133.209.127 SE  
5.133.209.128 5.133.209.143 NL  
5.133.209.144 5.133.209.255 SE  
5.133.210.0 5.133.210.31 US  
5.133.210.32 5.133.210.95 SE  
5.133.210.96 5.133.210.111 NL  
5.133.210.112 5.133.210.255 SE  
5.133.211.0 5.133.211.31 US  
5.133.211.32 5.133.211.207 SE  
5.133.211.208 5.133.211.223 NL  
5.133.211.224 5.133.211.255 SE  
5.133.212.0 5.133.212.31 US  
5.133.212.32 5.133.212.143 SE  
5.133.212.144 5.133.212.159 NL  
5.133.212.160 5.133.212.255 SE  
5.133.213.0 5.133.213.31 US  
5.133.213.32 5.133.213.207 SE  
5.133.213.208 5.133.213.223 NL  
5.133.213.224 5.133.213.255 SE  
5.133.214.0 5.133.214.31 US  
5.133.214.32 5.133.214.127 SE  
5.133.214.128 5.133.214.143 NL  
5.133.214.144 5.133.214.255 SE  
5.133.215.0 5.133.215.31 US  
5.133.215.32 5.133.215.223 SE  
5.133.215.224 5.133.215.255 NL  
5.133.216.0 5.133.216.31 US  
5.133.216.32 5.133.216.111 SE  
5.133.216.112 5.133.216.159 NL  
5.133.216.160 5.133.216.255 SE  
5.133.217.0 5.133.217.31 US  
5.133.217.32 5.133.217.191 SE  
5.133.217.192 5.133.217.207 NL  
5.133.217.208 5.133.217.255 SE  
5.133.218.0 5.133.218.31 US  
5.133.218.32 5.133.218.127 SE  
5.133.218.128 5.133.218.143 NL  
5.133.218.144 5.133.218.255 SE  
5.133.219.0 5.133.219.31 US  
5.133.219.32 5.133.219.143 SE  
5.133.219.144 5.133.219.159 NL  
5.133.219.160 5.133.219.255 SE  
5.133.220.0 5.133.220.31 US  
5.133.220.32 5.133.220.159 SE  
5.133.220.160 5.133.220.191 NL  
5.133.220.192 5.133.220.255 SE  
5.133.221.0 5.133.221.31 US  
5.133.221.32 5.133.221.111 SE  
5.133.221.112 5.133.221.159 NL  
5.133.221.160 5.133.221.255 SE  
5.133.222.0 5.133.222.31 US  
5.133.222.32 5.133.222.95 SE  
5.133.222.96 5.133.222.111 NL  
5.133.222.112 5.133.222.255 SE  
5.133.223.0 5.133.223.15 US  
5.133.223.16 5.133.223.175 SE  
5.133.223.176 5.133.223.191 NL  
5.133.223.192 5.133.223.255 SE  
5.133.224.0 5.133.239.255 AZ  
5.133.240.0 5.133.247.255 GB  
5.133.248.0 5.133.255.255 PL  
5.134.0.0 5.134.7.255 BE  
5.134.8.0 5.134.15.255 GB  
5.134.16.0 5.134.23.255 DE  
5.134.24.0 5.134.31.255 CH  
5.134.32.0 5.134.47.255 ES  
5.134.48.0 5.134.63.255 AZ  
5.134.64.0 5.134.79.255 PL  
5.134.80.0 5.134.87.255 AM  
5.134.88.0 5.134.95.255 IE  
5.134.96.0 5.134.103.255 FR  
5.134.104.0 5.134.111.255 RS  
5.134.112.0 5.134.119.255 ES  
5.134.120.0 5.134.127.255 IT  
5.134.128.0 5.134.191.255 IR  
5.134.192.0 5.134.199.255 SE  
5.134.200.0 5.134.207.255 SY  
5.134.208.0 5.134.215.255 PL  
5.134.216.0 5.134.223.255 RU  
5.134.224.0 5.134.255.255 SY  
5.135.0.0 5.135.4.51 FR  
5.135.4.52 5.135.4.55 IT  
5.135.4.56 5.135.5.15 FR  
5.135.5.16 5.135.5.19 DE  
5.135.5.20 5.135.6.127 FR  
5.135.6.128 5.135.6.143 GB  
5.135.6.144 5.135.8.127 FR  
5.135.8.128 5.135.8.128 DE  
5.135.8.129 5.135.8.131 FR  
5.135.8.132 5.135.8.135 ES  
5.135.8.136 5.135.9.79 FR  
5.135.9.80 5.135.9.83 ES  
5.135.9.84 5.135.9.131 FR  
5.135.9.132 5.135.9.132 DE  
5.135.9.133 5.135.9.255 FR  
5.135.10.0 5.135.10.255 GB  
5.135.11.0 5.135.11.223 FR  
5.135.11.224 5.135.11.224 DE  
5.135.11.225 5.135.12.59 FR  
5.135.12.60 5.135.12.63 NL  
5.135.12.64 5.135.16.215 FR  
5.135.16.216 5.135.16.223 NL  
5.135.16.224 5.135.18.23 FR  
5.135.18.24 5.135.18.27 DE  
5.135.18.28 5.135.18.223 FR  
5.135.18.224 5.135.18.255 NL  
5.135.19.0 5.135.20.103 FR  
5.135.20.104 5.135.20.119 ES  
5.135.20.120 5.135.22.127 FR  
5.135.22.128 5.135.22.143 DE  
5.135.22.144 5.135.27.95 FR  
5.135.27.96 5.135.27.103 IT  
5.135.27.104 5.135.28.3 FR  
5.135.28.4 5.135.28.7 CZ  
5.135.28.8 5.135.29.51 FR  
5.135.29.52 5.135.29.59 DE  
5.135.29.60 5.135.30.83 FR  
5.135.30.84 5.135.30.87 IT  
5.135.30.88 5.135.31.11 FR  
5.135.31.12 5.135.31.19 IT  
5.135.31.20 5.135.34.203 FR  
5.135.34.204 5.135.34.207 IT  
5.135.34.208 5.135.35.15 FR  
5.135.35.16 5.135.35.19 IT  
5.135.35.20 5.135.35.87 FR  
5.135.35.88 5.135.35.91 IT  
5.135.35.92 5.135.35.239 FR  
5.135.35.240 5.135.35.243 ES  
5.135.35.244 5.135.36.35 FR  
5.135.36.36 5.135.36.39 IT  
5.135.36.40 5.135.36.159 FR  
5.135.36.160 5.135.36.163 ES  
5.135.36.164 5.135.37.135 FR  
5.135.37.136 5.135.37.143 NL  
5.135.37.144 5.135.38.75 FR  
5.135.38.76 5.135.38.79 IT  
5.135.38.80 5.135.38.127 FR  
5.135.38.128 5.135.38.139 IT  
5.135.38.140 5.135.38.143 FR  
5.135.38.144 5.135.38.147 IT  
5.135.38.148 5.135.38.187 FR  
5.135.38.188 5.135.38.191 IT  
5.135.38.192 5.135.39.187 FR  
5.135.39.188 5.135.39.191 IT  
5.135.39.192 5.135.41.19 FR  
5.135.41.20 5.135.41.23 IT  
5.135.41.24 5.135.42.51 FR  
5.135.42.52 5.135.42.55 NL  
5.135.42.56 5.135.42.71 FR  
5.135.42.72 5.135.42.75 NL  
5.135.42.76 5.135.42.91 FR  
5.135.42.92 5.135.42.99 NL  
5.135.42.100 5.135.43.107 FR  
5.135.43.108 5.135.43.111 IT  
5.135.43.112 5.135.43.127 NL  
5.135.43.128 5.135.45.247 FR  
5.135.45.248 5.135.45.255 ES  
5.135.46.0 5.135.50.175 FR  
5.135.50.176 5.135.50.191 ES  
5.135.50.192 5.135.55.191 FR  
5.135.55.192 5.135.55.255 GB  
5.135.56.0 5.135.59.207 FR  
5.135.59.208 5.135.59.208 PT  
5.135.59.209 5.135.59.229 FR  
5.135.59.230 5.135.59.230 PT  
5.135.59.231 5.135.61.11 FR  
5.135.61.12 5.135.61.15 GB  
5.135.61.16 5.135.63.179 FR  
5.135.63.180 5.135.63.183 ES  
5.135.63.184 5.135.71.95 FR  
5.135.71.96 5.135.71.96 DE  
5.135.71.97 5.135.76.183 FR  
5.135.76.184 5.135.76.191 ES  
5.135.76.192 5.135.78.139 FR  
5.135.78.140 5.135.78.143 IT  
5.135.78.144 5.135.82.147 FR  
5.135.82.148 5.135.82.151 ES  
5.135.82.152 5.135.93.63 FR  
5.135.93.64 5.135.93.127 ES  
5.135.93.128 5.135.104.95 FR  
5.135.104.96 5.135.104.127 DE  
5.135.104.128 5.135.105.3 FR  
5.135.105.4 5.135.105.7 DE  
5.135.105.8 5.135.108.127 FR  
5.135.108.128 5.135.108.255 DE  
5.135.109.0 5.135.109.46 FR  
5.135.109.47 5.135.109.47 FI  
5.135.109.48 5.135.112.15 FR  
5.135.112.16 5.135.112.23 ES  
5.135.112.24 5.135.113.15 FR  
5.135.113.16 5.135.113.23 ES  
5.135.113.24 5.135.120.63 FR  
5.135.120.64 5.135.120.127 ES  
5.135.120.128 5.135.175.247 FR  
5.135.175.248 5.135.175.248 ES  
5.135.175.249 5.135.192.95 FR  
5.135.192.96 5.135.192.127 ES  
5.135.192.128 5.135.194.187 FR  
5.135.194.188 5.135.194.191 DE  
5.135.194.192 5.135.195.183 FR  
5.135.195.184 5.135.195.187 ES  
5.135.195.188 5.135.198.31 FR  
5.135.198.32 5.135.198.63 IT  
5.135.198.64 5.135.198.111 FR  
5.135.198.112 5.135.198.115 DE  
5.135.198.116 5.135.198.127 FR  
5.135.198.128 5.135.198.135 NL  
5.135.198.136 5.135.202.211 FR  
5.135.202.212 5.135.202.215 PT  
5.135.202.216 5.135.204.71 FR  
5.135.204.72 5.135.204.75 DE  
5.135.204.76 5.135.208.139 FR  
5.135.208.140 5.135.208.143 IT  
5.135.208.144 5.135.218.251 FR  
5.135.218.252 5.135.218.255 IT  
5.135.219.0 5.135.219.199 FR  
5.135.219.200 5.135.219.203 DE  
5.135.219.204 5.135.221.255 FR  
5.135.222.0 5.135.222.3 DE  
5.135.222.4 5.135.223.143 FR  
5.135.223.144 5.135.223.151 ES  
5.135.223.152 5.135.229.43 FR  
5.135.229.44 5.135.229.47 IT  
5.135.229.48 5.135.229.55 FR  
5.135.229.56 5.135.229.63 NL  
5.135.229.64 5.135.230.95 FR  
5.135.230.96 5.135.230.111 ES  
5.135.230.112 5.135.232.223 FR  
5.135.232.224 5.135.232.255 ES  
5.135.233.0 5.135.240.243 FR  
5.135.240.244 5.135.240.247 IT  
5.135.240.248 5.135.242.239 FR  
5.135.242.240 5.135.242.247 CZ  
5.135.242.248 5.135.247.15 FR  
5.135.247.16 5.135.247.19 DE  
5.135.247.20 5.135.249.171 FR  
5.135.249.172 5.135.249.175 DE  
5.135.249.176 5.135.253.23 FR  
5.135.253.24 5.135.253.31 NL  
5.135.253.32 5.135.255.255 FR  
5.136.0.0 5.143.255.255 RU  
5.144.0.0 5.144.47.255 CH  
5.144.48.0 5.144.63.255 IL  
5.144.64.0 5.144.79.255 RU  
5.144.80.0 5.144.95.255 GB  
5.144.96.0 5.144.127.255 RU  
5.144.128.0 5.144.135.255 IR  
5.144.136.0 5.144.143.255 FR  
5.144.144.0 5.144.151.255 ES  
5.144.152.0 5.144.159.255 GB  
5.144.160.0 5.144.175.255 IT  
5.144.176.0 5.144.183.255 GB  
5.144.184.0 5.144.191.255 IT  
5.144.192.0 5.144.255.255 GR  
5.145.0.0 5.145.103.255 CH  
5.145.104.0 5.145.111.255 CZ  
5.145.112.0 5.145.119.255 IR  
5.145.120.0 5.145.127.255 IT  
5.145.128.0 5.145.143.255 DE  
5.145.144.0 5.145.147.255 GI  
5.145.148.0 5.145.149.141 DE  
5.145.149.143 5.145.151.255 DE  
5.145.152.0 5.145.159.255 NO  
5.145.160.0 5.145.167.255 RU  
5.145.168.0 5.145.175.255 ES  
5.145.176.0 5.145.191.255 DE  
5.145.192.0 5.145.255.255 RU  
5.146.0.0 5.147.255.255 DE  
5.148.0.0 5.148.159.255 GB  
5.148.160.0 5.148.191.255 CH  
5.148.192.0 5.148.255.255 HU  
5.149.0.0 5.149.7.255 CH  
5.149.8.0 5.149.15.255 GB  
5.149.16.0 5.149.63.255 CH  
5.149.64.0 5.149.95.255 BA  
5.149.96.0 5.149.111.255 IQ  
5.149.112.0 5.149.119.255 LU  
5.149.120.0 5.149.127.255 UA  
5.149.128.0 5.149.135.255 AT  
5.149.136.0 5.149.143.255 BE  
5.149.144.0 5.149.159.255 RU  
5.149.160.0 5.149.167.255 PL  
5.149.168.0 5.149.175.255 IE  
5.149.176.0 5.149.191.255 FR  
5.149.192.0 5.149.199.255 PL  
5.149.200.0 5.149.207.255 RU  
5.149.208.0 5.149.223.255 UA  
5.149.224.0 5.149.239.255 DE  
5.149.240.0 5.149.247.255 HU  
5.149.248.0 5.149.249.255 NL  
5.149.250.0 5.149.251.255 GB  
5.149.252.0 5.149.253.255 CA  
5.149.254.0 5.149.255.255 NL  
5.150.0.0 5.150.127.255 GB  
5.150.128.0 5.150.143.255 IT  
5.150.144.0 5.150.191.255 GB  
5.150.192.0 5.150.227.255 SE  
5.150.228.0 5.150.232.255 NO  
5.150.233.0 5.150.255.255 SE  
5.151.0.0 5.151.211.255 GB  
5.151.212.0 5.151.213.255 NL  
5.151.214.0 5.151.235.175 GB  
5.151.235.176 5.151.235.183 NL  
5.151.235.184 5.151.255.255 GB  
5.152.0.0 5.152.127.255 GE  
5.152.128.0 5.152.159.255 IT  
5.152.160.0 5.152.167.255 PL  
5.152.168.0 5.152.175.255 ES  
5.152.176.0 5.152.176.255 GB  
5.152.177.0 5.152.177.255 HK  
5.152.178.0 5.152.178.255 NL  
5.152.179.0 5.152.179.255 US  
5.152.180.0 5.152.180.255 AU  
5.152.181.0 5.152.191.255 US  
5.152.192.0 5.152.223.255 GB  
5.152.224.0 5.152.231.255 LV  
5.152.232.0 5.152.239.255 BA  
5.152.240.0 5.152.247.255 IT  
5.152.248.0 5.152.255.255 AE  
5.153.0.0 5.153.63.255 NL  
5.153.64.0 5.153.103.255 GB  
5.153.104.0 5.153.111.255 NO  
5.153.112.0 5.153.127.255 CH  
5.153.128.0 5.153.191.255 UA  
5.153.192.0 5.153.231.255 GB  
5.153.232.0 5.153.239.255 SE  
5.153.240.0 5.153.247.255 CH  
5.153.248.0 5.153.255.255 GB  
5.154.0.0 5.154.127.255 ES  
5.154.128.0 5.154.159.255 GB  
5.154.160.0 5.154.167.255 DE  
5.154.168.0 5.154.189.255 RO  
5.154.190.0 5.154.191.255 MD  
5.154.192.0 5.154.223.255 IT  
5.154.224.0 5.154.255.255 RO  
5.155.0.0 5.155.255.255 SY  
5.156.0.0 5.156.255.255 SA  
5.157.0.0 5.157.14.255 SE  
5.157.15.0 5.157.15.255 NL  
5.157.16.0 5.157.16.255 SE  
5.157.17.0 5.157.17.255 NL  
5.157.18.0 5.157.19.255 DK  
5.157.20.0 5.157.20.255 TR  
5.157.21.0 5.157.21.255 DK  
5.157.22.0 5.157.25.255 FI  
5.157.26.0 5.157.29.255 BE  
5.157.30.0 5.157.30.255 FR  
5.157.31.0 5.157.31.255 SE  
5.157.32.0 5.157.33.255 RU  
5.157.34.0 5.157.37.255 CH  
5.157.38.0 5.157.39.255 IT  
5.157.40.0 5.157.43.255 LU  
5.157.44.0 5.157.46.255 DE  
5.157.47.0 5.157.47.255 AT  
5.157.48.0 5.157.48.255 SE  
5.157.49.0 5.157.50.255 AT  
5.157.51.0 5.157.54.255 SE  
5.157.55.0 5.157.55.255 LI  
5.157.56.0 5.157.63.255 SE  
5.157.64.0 5.157.71.255 GB  
5.157.72.0 5.157.79.255 SI  
5.157.80.0 5.157.95.255 NL  
5.157.96.0 5.157.127.255 IT  
5.157.128.0 5.157.255.255 RO  
5.158.0.0 5.158.63.255 PT  
5.158.64.0 5.158.79.255 IT  
5.158.80.0 5.158.87.255 ES  
5.158.88.0 5.158.95.255 GB  
5.158.96.0 5.158.127.255 RU  
5.158.128.0 5.158.191.255 DE  
5.158.192.0 5.158.199.255 NO  
5.158.200.0 5.158.207.255 FR  
5.158.208.0 5.158.215.255 GB  
5.158.216.0 5.158.223.255 ES  
5.158.224.0 5.158.231.255 GB  
5.158.232.0 5.158.239.255 RU  
5.158.240.0 5.158.255.255 FR  
5.159.0.0 5.159.7.255 AT  
5.159.8.0 5.159.15.255 ES  
5.159.16.0 5.159.23.255 GE  
5.159.24.0 5.159.31.255 DE  
5.159.32.0 5.159.39.255 NL  
5.159.40.0 5.159.47.255 IE  
5.159.48.0 5.159.55.255 IR  
5.159.56.0 5.159.95.255 DE  
5.159.96.0 5.159.119.255 RU  
5.159.120.0 5.159.127.255 GB  
5.159.128.0 5.159.191.255 ES  
5.159.192.0 5.159.199.255 NL  
5.159.200.0 5.159.215.255 GB  
5.159.216.0 5.159.223.255 LU  
5.159.224.0 5.159.231.255 GB  
5.159.232.0 5.159.239.255 HU  
5.159.240.0 5.159.247.255 ES  
5.159.248.0 5.159.255.255 TR  
5.160.0.0 5.161.255.255 IR  
5.162.0.0 5.162.255.255 OM  
5.163.0.0 5.163.255.255 SA  
5.164.0.0 5.167.255.255 RU  
5.168.0.0 5.171.255.255 IT  
5.172.0.0 5.172.31.255 RU  
5.172.32.0 5.172.39.255 RS  
5.172.40.0 5.172.47.255 NL  
5.172.48.0 5.172.63.255 GB  
5.172.64.0 5.172.127.255 IT  
5.172.128.0 5.172.143.255 CH  
5.172.144.0 5.172.151.255 SE  
5.172.152.0 5.172.175.255 GB  
5.172.176.0 5.172.183.255 FR  
5.172.184.0 5.172.191.255 PL  
5.172.192.0 5.172.207.255 GR  
5.172.208.0 5.172.215.255 IT  
5.172.216.0 5.172.223.255 NL  
5.172.224.0 5.174.255.255 PL  
5.175.0.0 5.175.31.255 DE  
5.175.32.0 5.175.39.255 IT  
5.175.40.0 5.175.47.255 ES  
5.175.48.0 5.175.55.255 IT  
5.175.56.0 5.175.63.255 GB  
5.175.64.0 5.175.76.255 IT  
5.175.80.0 5.175.87.255 NL  
5.175.88.0 5.175.127.255 RU  
5.175.128.0 5.175.128.255 GB  
5.175.129.0 5.175.132.255 DE  
5.175.133.0 5.175.133.255 AU  
5.175.134.0 5.175.135.255 DE  
5.175.136.0 5.175.136.255 GB  
5.175.137.0 5.175.137.255 US  
5.175.138.0 5.175.141.255 DE  
5.175.142.0 5.175.142.255 AE  
5.175.143.0 5.175.144.255 RU  
5.175.145.0 5.175.148.255 DE  
5.175.149.0 5.175.149.127 GB  
5.175.149.128 5.175.149.255 RS  
5.175.150.0 5.175.150.127 GB  
5.175.150.128 5.175.150.255 AE  
5.175.151.0 5.175.151.127 DE  
5.175.151.128 5.175.151.255 QA  
5.175.152.0 5.175.152.255 GB  
5.175.153.0 5.175.153.127 AU  
5.175.153.128 5.175.153.255 DE  
5.175.154.0 5.175.157.255 AU  
5.175.158.0 5.175.158.127 GB  
5.175.158.128 5.175.158.255 DE  
5.175.159.0 5.175.159.255 GB  
5.175.160.0 5.175.169.255 DE  
5.175.170.0 5.175.170.255 GB  
5.175.171.0 5.175.171.255 US  
5.175.172.0 5.175.173.255 DE  
5.175.174.0 5.175.174.255 US  
5.175.175.0 5.175.175.15 DE  
5.175.175.16 5.175.175.127 US  
5.175.175.128 5.175.176.15 DE  
5.175.176.16 5.175.176.127 CA  
5.175.176.128 5.175.177.15 DE  
5.175.177.16 5.175.177.127 US  
5.175.177.128 5.175.177.255 DE  
5.175.178.0 5.175.178.255 GB  
5.175.179.0 5.175.179.15 DE  
5.175.179.16 5.175.179.127 US  
5.175.179.128 5.175.180.15 DE  
5.175.180.16 5.175.180.127 US  
5.175.180.128 5.175.181.255 DE  
5.175.182.0 5.175.182.255 GB  
5.175.183.0 5.175.183.127 US  
5.175.183.128 5.175.183.175 DE  
5.175.183.176 5.175.183.183 AT  
5.175.183.184 5.175.183.255 DE  
5.175.184.0 5.175.184.127 GB  
5.175.184.128 5.175.184.255 KW  
5.175.185.0 5.175.185.255 DE  
5.175.186.0 5.175.186.127 GB  
5.175.186.128 5.175.186.199 US  
5.175.186.200 5.175.186.207 HR  
5.175.186.208 5.175.186.223 DE  
5.175.186.224 5.175.186.255 US  
5.175.187.0 5.175.187.255 DE  
5.175.188.0 5.175.188.127 US  
5.175.188.128 5.175.188.175 DE  
5.175.188.176 5.175.188.183 BE  
5.175.188.184 5.175.188.255 DE  
5.175.189.0 5.175.189.127 US  
5.175.189.128 5.175.189.255 DE  
5.175.190.0 5.175.190.255 GB  
5.175.191.0 5.175.191.255 US  
5.175.192.0 5.175.194.255 DE  
5.175.195.0 5.175.195.255 GB  
5.175.196.0 5.175.196.255 DE  
5.175.197.0 5.175.197.127 US  
5.175.197.128 5.175.197.255 DE  
5.175.198.0 5.175.198.255 GB  
5.175.199.0 5.175.199.127 US  
5.175.199.128 5.175.200.255 DE  
5.175.201.0 5.175.203.255 GB  
5.175.204.0 5.175.204.255 DE  
5.175.205.0 5.175.206.255 US  
5.175.207.0 5.175.207.127 DE  
5.175.207.128 5.175.207.255 US  
5.175.208.0 5.175.208.127 DE  
5.175.208.128 5.175.208.255 US  
5.175.209.0 5.175.209.127 DE  
5.175.209.128 5.175.209.255 US  
5.175.210.0 5.175.211.255 GB  
5.175.212.0 5.175.212.127 DE  
5.175.212.128 5.175.212.255 US  
5.175.213.0 5.175.215.255 DE  
5.175.216.0 5.175.216.255 US  
5.175.217.0 5.175.217.15 CH  
5.175.217.16 5.175.217.127 DE  
5.175.217.128 5.175.218.255 GB  
5.175.219.0 5.175.219.255 DE  
5.175.220.0 5.175.220.15 NL  
5.175.220.16 5.175.241.255 DE  
5.175.242.0 5.175.242.255 GB  
5.175.243.0 5.175.255.13 DE  
5.175.255.14 5.175.255.14 US  
5.175.255.15 5.175.255.255 DE  
5.176.0.0 5.177.255.255 TR  
5.178.0.0 5.178.15.255 AZ  
5.178.16.0 5.178.23.255 GB  
5.178.24.0 5.178.31.255 RU  
5.178.32.0 5.178.39.255 NL  
5.178.40.0 5.178.44.255 IT  
5.178.45.0 5.178.45.255 GB  
5.178.46.0 5.178.47.255 IT  
5.178.48.0 5.178.63.255 SK  
5.178.64.0 5.178.71.255 NL  
5.178.72.0 5.178.79.255 SE  
5.178.80.0 5.178.87.255 RU  
5.178.88.0 5.178.95.255 IT  
5.178.96.0 5.178.111.255 GB  
5.178.112.0 5.178.119.255 NL  
5.178.120.0 5.178.127.255 IT  
5.178.128.0 5.178.255.255 GE  
5.179.0.0 5.179.31.255 LV  
5.179.32.0 5.179.71.255 IE  
5.179.72.0 5.179.79.255 GB  
5.179.80.0 5.179.95.255 DK  
5.179.96.0 5.179.111.255 GB  
5.179.112.0 5.179.119.255 SE  
5.179.120.0 5.179.127.255 FR  
5.179.128.0 5.179.191.255 IT  
5.179.192.0 5.179.199.255 FR  
5.179.200.0 5.179.255.255 DE  
5.184.0.0 5.185.255.255 PL  
5.186.0.0 5.186.255.255 DK  
5.187.0.0 5.187.7.255 DE  
5.187.8.0 5.187.15.255 GE  
5.187.16.0 5.187.31.255 GB  
5.187.32.0 5.187.39.255 ES  
5.187.40.0 5.187.47.255 RU  
5.187.48.0 5.187.55.255 PL  
5.187.56.0 5.187.63.255 CH  
5.187.64.0 5.187.95.255 RU  
5.187.96.0 5.187.121.255 GP  
5.187.122.0 5.187.122.255 MF  
5.187.123.0 5.187.127.255 GP  
5.187.128.0 5.187.255.255 HU  
5.188.0.0 5.189.127.255 RU  
5.189.128.0 5.189.191.255 DE  
5.189.192.0 5.189.199.255 RU  
5.189.200.0 5.189.200.127 ZA  
5.189.200.128 5.189.200.255 KR  
5.189.201.0 5.189.201.127 EG  
5.189.201.128 5.189.201.255 ID  
5.189.202.0 5.189.202.127 PK  
5.189.202.128 5.189.202.255 VN  
5.189.203.0 5.189.203.127 SG  
5.189.203.128 5.189.203.255 US  
5.189.204.0 5.189.204.127 IR  
5.189.204.128 5.189.204.255 US  
5.189.205.0 5.189.205.127 CA  
5.189.205.128 5.189.205.255 FR  
5.189.206.0 5.189.206.127 US  
5.189.206.128 5.189.206.255 FI  
5.189.207.0 5.189.207.127 US  
5.189.207.128 5.189.207.255 SE  
5.189.208.0 5.189.216.255 RU  
5.189.217.0 5.189.217.255 RO  
5.189.218.0 5.189.251.255 RU  
5.189.252.0 5.189.252.255 US  
5.189.253.0 5.189.253.255 NL  
5.189.254.0 5.189.255.255 RU  
5.190.0.0 5.190.255.255 IR  
5.191.0.0 5.191.255.255 AZ  
5.192.0.0 5.195.255.255 AE  
5.196.0.0 5.196.20.143 FR  
5.196.20.144 5.196.20.144 ES  
5.196.20.145 5.196.32.151 FR  
5.196.32.152 5.196.32.155 DE  
5.196.32.156 5.196.32.255 FR  
5.196.33.0 5.196.33.3 PT  
5.196.33.4 5.196.34.47 FR  
5.196.34.48 5.196.34.63 IT  
5.196.34.64 5.196.35.15 FR  
5.196.35.16 5.196.35.31 IT  
5.196.35.32 5.196.35.127 FR  
5.196.35.128 5.196.35.255 IT  
5.196.36.0 5.196.38.175 FR  
5.196.38.176 5.196.38.179 PT  
5.196.38.180 5.196.44.7 FR  
5.196.44.8 5.196.44.15 NL  
5.196.44.16 5.196.44.27 FR  
5.196.44.28 5.196.44.31 NL  
5.196.44.32 5.196.45.23 FR  
5.196.45.24 5.196.45.31 DE  
5.196.45.32 5.196.52.159 FR  
5.196.52.160 5.196.52.163 IT  
5.196.52.164 5.196.53.127 FR  
5.196.53.128 5.196.53.135 GB  
5.196.53.136 5.196.61.127 FR  
5.196.61.128 5.196.61.255 IT  
5.196.62.0 5.196.62.95 FR  
5.196.62.96 5.196.62.127 DE  
5.196.62.128 5.196.63.27 FR  
5.196.63.28 5.196.63.31 PT  
5.196.63.32 5.196.63.79 FR  
5.196.63.80 5.196.63.95 DE  
5.196.63.96 5.196.63.143 FR  
5.196.63.144 5.196.63.159 DE  
5.196.63.160 5.196.96.103 FR  
5.196.96.104 5.196.96.107 PT  
5.196.96.108 5.196.98.203 FR  
5.196.98.204 5.196.98.207 ES  
5.196.98.208 5.196.98.223 DE  
5.196.98.224 5.196.100.7 FR  
5.196.100.8 5.196.100.15 NL  
5.196.100.16 5.196.103.135 FR  
5.196.103.136 5.196.103.139 CH  
5.196.103.140 5.196.103.143 SE  
5.196.103.144 5.196.103.159 FR  
5.196.103.160 5.196.103.163 SE  
5.196.103.164 5.196.104.123 FR  
5.196.104.124 5.196.104.127 ES  
5.196.104.128 5.196.105.231 FR  
5.196.105.232 5.196.105.235 DE  
5.196.105.236 5.196.111.183 FR  
5.196.111.184 5.196.111.187 ES  
5.196.111.188 5.196.111.215 FR  
5.196.111.216 5.196.111.223 IT  
5.196.111.224 5.196.114.83 FR  
5.196.114.84 5.196.114.87 IT  
5.196.114.88 5.196.119.255 FR  
5.196.120.0 5.196.120.15 BE  
